Pos.,Game Name,Misinfo Label,Mechanics Label,Teaching Label,GM-TO Relationship,Theory Label,Narrative Label,Story Strength,Player Label,General Topic Label,Platform Label,Game Type Label,Content Type Label
1,How to Spot Fake News,imaginative,Social (media) simulation,"Procedual literacy, Socio-emotional",Direct,"Pro. strategy use, Corroboration, Declerative, Procedual","newsroom/feed, fact-checker, real-life impact, other",Medium,Embedded,"Information Literacy / Misinformation, Social Media",Video Game,Choice-based Simulation,"News Articles, Social Media"
2,Misinformation is Contagious,"imaginative, conspiracy, mis","Sharing decision, Evaluation, scoring/feedback loops","Procedual literacy, Normative behavior, Strategy awareness",Direct,"Pro. strategy use, Metacognitive, Corroboration, Source evaluation",social media,Weak/medium,"Strategic, Good","Social Media, Information Literacy / Misinformation",Video Game,Choice-based Simulation,Social Media
3,LAMBOOZLED!,imaginative,"Evaluation, Headline, Competitive","Detection, Procedual literacy",Direct,"Corroboration, Source evaluation, Declerative, Procedual",none,No story,"Opponent, Detached",Information Literacy / Misinformation,Card Game,Card Game,"News Articles, Other"
4,Factitious,real,"scoring/feedback loops, Evaluation, Headline",Detection,Direct,"Veracity discernment, Source evaluation",social media,No story,Detached,Information Literacy / Misinformation,Video Game,Trivia,News Articles
5,FakeYou,"imaginative, self-created, real","Competitive, scoring/feedback loops, Content Creation, Headline","Detection, Strategy awareness","Direct, Contradictive","Veracity discernment, Inoculation/prebunking, Procedual",none,No story,"Opponent, Detached, Good + Bad",Information Literacy / Misinformation,Video Game,Trivia,"News Articles, ""Multimodal (e.g. Video, Image, Audio)"""
6,Fakeopoly,"imaginative, self-created","Headline, Content Creation, scoring/feedback loops, Competitive","Detection, Strategy awareness","Direct, Contradictive","Veracity discernment, Inoculation/prebunking, Procedual",newsroom/feed,Weak,"Opponent, Good + Bad, Detached",Information Literacy / Misinformation,Board Game,Board Game,News Articles
7,The Lying Geese,"imaginative, self-created","Headline, Content Creation, scoring/feedback loops, Competitive","Detection, Strategy awareness","Direct, Contradictive","Veracity discernment, Inoculation/prebunking, Procedual",none,No story,"Opponent, Good + Bad, Detached",Information Literacy / Misinformation,Card Game,Card Game,News Articles
8,Digital BrainCompany Inspired,"real, imaginative","Evaluation, Sharing decision, Content Creation, Competitive","Detection, Procedual literacy, Strategy awareness, Normative behavior","Direct, Contradictive","Inoculation/prebunking, Procedual","social media, fact-checker",Weak,"Opponent, Good + Bad, Detached",Information Literacy / Misinformation,Video Game,Trivia,News Articles
9,"SWR FakeFinder
","real, mis","Evaluation, Headline, scoring/feedback loops",Procedual literacy,Direct,"Procedual, Pro. strategy use",newsroom/feed,No story,Detached,"Information Literacy / Misinformation, ""Trolls, Satire, Humor, Ads""",Video Game,Trivia,News Articles
10,Fake News Detective,"imaginative, mis","Evaluation, Narrative Framing, scoring/feedback loops","Detection, Strategy awareness",Direct,"Inoculation/prebunking, Declerative, Procedual","fact-checker, detective",Medium,"Good, Embedded",Information Literacy / Misinformation,Video Game,RPG,News Articles
11,Fakey,real,"Sharing decision, Social (media) simulation, scoring/feedback loops","Normative behavior, Detection",Direct,"Heuristic vs analytical , Procedual, Corroboration",social media,No story,Good,Information Literacy / Misinformation,Video Game,Trivia,News Articles
12,Social4School,imaginative,"Sharing decision, Social (media) simulation, scoring/feedback loops","Normative behavior, Socio-emotional",Direct,"Procedual, Const./Situated learning",social media,No story,Detached,Information Literacy / Misinformation,Video Game,Trivia,News Articles
